FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.270,270,0,POINT (-60.06758353499998 -33.50192122999994),Estación Ramallo,Estación,Ramallo,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.271,271,0,POINT (-60.31530806999996 -33.52194423599997),Estación Erezcano,Estación,Erezcano,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.272,272,0,POINT (-61.92872836799995 -34.41447568999996),Estación Iriarte,Estación,Iriarte,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.273,273,0,POINT (-62.09322555099993 -34.47295742499995),Estación Dos Hermanos,Estación,Dos Hermanos,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.274,274,0,POINT (-61.811901545999945 -34.437102479999965),Estación Juan Bautista Alberdi,Estación,Juan Bautista Alberdi,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.275,275,0,POINT (-61.53845895799998 -34.48882678299998),Estación Vedia,Estación,Vedia,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.276,276,0,POINT (-62.051286363999964 -34.57579961599998),Estación Mayor J. Orellano,Estación,Mayor J. Orellano,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.277,277,0,POINT (-62.121777608999935 -34.59737549399995),Estación El Peregrino,Estación,El Peregrino,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.278,278,0,POINT (-62.171233736999966 -34.57693260099995),Estación Ingeniero Balbín,Estación,Ingeniero Balbín,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.279,279,0,POINT (-63.35916032499995 -34.74707606099997),Estación Gondra,Estación,Gondra,4,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.280,280,0,POINT (-63.37430198199996 -34.67316533799993),Estación Coronel Charlone,Estación,Coronel Charlone,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.281,281,0,POINT (-63.19737843499996 -34.77803342699997),Estación Emilio V. Bunge,Estación,Emilio V. Bunge,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.282,282,0,POINT (-60.50741265499994 -34.03266740299995),Estación Rancagua,Estación,Rancagua,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.283,283,0,POINT (-60.40618327499993 -34.09995436299994),Estación Arroyo Dulce,Estación,Arroyo Dulce,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.284,284,0,POINT (-60.262315462999936 -34.292157816999975),Estación Salto,Estación,Salto,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.285,285,0,POINT (-60.24469901899994 -34.30028071099997),Estación Salto,Estación,Salto,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.286,286,0,POINT (-60.101198126999975 -34.33805341599998),Estación Gahan,Estación,Gahan,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.287,287,0,POINT (-60.067504836999944 -34.610545429999945),Estación Rawson,Estación,Rawson,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.288,288,0,POINT (-60.40825215099994 -34.62182447699996),Estación Cucha Cucha,Estación,Cucha Cucha,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.289,289,0,POINT (-60.470209850999936 -34.629777186999945),Estación Chacabuco,Estación,Chacabuco,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.290,290,0,POINT (-61.29294808099996 -34.27022477799994),Estación Arenales,Estación,Arenales,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.291,291,0,POINT (-61.35891796399994 -34.24995541699997),Estación La Pinta,Estación,La Pinta,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.292,292,0,POINT (-60.86670721999997 -34.03867195199996),Estación Carabelas,Estación,Carabelas,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.293,293,0,POINT (-60.386959341999955 -34.26570176499996),Estación La Invencible,Estación,La Invencible,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.294,294,0,POINT (-61.24166311199997 -34.23299508599996),Estación Ham,Estación,Ham,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.295,295,0,POINT (-60.96878696099998 -34.25967629399997),Estación La Angelita,Estación,La Angelita,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.296,296,0,POINT (-60.87166639399999 -34.26903233799993),Estación Sol de Mayo,Estación,Sol de Mayo,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.297,297,0,POINT (-60.53223263099994 -34.24799688999997),Estación Hunter,Estación,Hunter,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.298,298,0,POINT (-60.66986220999996 -34.08505501399998),Estación Roberto Cano,Estación,Roberto Cano,4,IGN/Ministerio de Transporte de la Nación,IGN
