FID,gid,entidad,geom,fna,gna,nam,fun,atv,fdc,sag
puntos_de_transporte_aereo_GB001.34,34,1,POINT (-60.62868389099998 -33.46599275999995),Aeródromo Cóndor del Aire,Aeródromo,Cóndor del Aire,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.35,35,1,POINT (-63.49880184899996 -35.63660393699996),Aeródromo Estancia Trebolares,Aeródromo,Estancia Trebolares,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.36,36,1,POINT (-65.62618404999995 -34.48810131999994),Aeródromo Estancia Gloria a Dios,Aeródromo,Estancia Gloria a Dios,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.37,37,1,POINT (-68.73694157699998 -30.221484663999945),Aeródromo San José de Jáchal,Aeródromo,San José de Jáchal,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.38,38,1,POINT (-56.63631332099993 -64.23996824299996),Aeródromo Vicecomodoro Marambio,Aeródromo,Vicecomodoro Marambio,6,8,IGN/Ministerio de Transporte,IGN
puntos_de_transporte_aereo_GB001.83,83,1,POINT (-61.388668680999956 -35.63289216099997),Aeródromo Carlos Casares,Aeródromo,Carlos Casares,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.41,41,1,POINT (-60.67313811199995 -33.28631847599996),Aeródromo Estancia San Nicolás,Aeródromo,Estancia San Nicolás,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.42,42,1,POINT (-61.71602815099993 -32.21225100899994),Aeródromo El Trébol,Aeródromo,El Trébol,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.43,43,1,POINT (-60.85048065899997 -31.471165372999963),Aeródromo Esperanza,Aeródromo,Esperanza,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.44,44,1,POINT (-61.18078591799997 -32.03781798199998),Aeródromo Gálvez,Aeródromo,Gálvez,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.45,45,1,POINT (-60.36813739599995 -30.38831396699993),Aeroclub Gobernador Crespo,Aeroclub,Gobernador Crespo,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.46,46,1,POINT (-60.88708201899993 -30.960749592999946),Aeródromo La Pelada,Aeródromo,La Pelada,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.47,47,1,POINT (-61.58175733699994 -32.488267829999984),Aeródromo Las Rosas,Aeródromo,Las Rosas,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.48,48,1,POINT (-59.977929966999966 -29.36364068599994),Aeródromo Malabrigo,Aeródromo,Malabrigo,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.49,49,1,POINT (-60.753640883999935 -32.641712532999975),Aeródromo Puerto San Martín - Terminal 6,Aeródromo,Puerto San Martín - Terminal 6,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.50,50,1,POINT (-61.49828371099994 -31.279207204999977),Aeródromo Rafaela,Aeródromo,Rafaela,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.52,52,1,POINT (-60.57031440099996 -33.08351236499993),Aeródromo Pueblo Esther,Aeródromo,Pueblo Esther,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.53,53,1,POINT (-61.222770486999934 -30.265903933999937),Aeródromo San Cristóbal,Aeródromo,San Cristóbal,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.54,54,1,POINT (-59.99113967799997 -30.55914670599998),Aeroclub San Javier,Aeroclub,San Javier,6,9,IGN/ANAC,IGN
