FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_aereo_GB035.583,583,2,POINT (-54.48147165399996 -26.996317395999938),Helipuerto San Vicente Centro,Helipuerto,San Vicente Centro,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.584,584,2,POINT (-60.49675062899996 -31.730161541999962),Helipuerto Jefatura de Policía de Entre Ríos,Helipuerto,Jefatura de Policía de Entre Ríos,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.596,596,2,POINT (-57.983735825999986 -30.745339763999937),Helipuerto Hospital Santa Rosa,Helipuerto,Hospital Santa Rosa,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.629,629,2,POINT (-64.90534071799993 -27.51438262099998),,,,6,IGN,IGN
puntos_de_transporte_aereo_GB035.714,714,2,POINT (-64.26497996399996 -27.781276350999974),Helipuerto Superior Tribunal de Justicia de la Provincia de Santiago del Estero,Helipuerto,Superior Tribunal de Justicia de la Provincia de Santiago del Estero,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.718,718,2,POINT (-58.51491571899999 -34.72358758599995),Helipuerto Oficial Subinspector Gustavo Soares de Souza,Helipuerto,Oficial Subinspector Gustavo Soares de Souza,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.720,720,2,POINT (-58.74200019999995 -34.66941422899998),Helipuerto Hospital Zonal General de Agudos Héroes de Malvinas,Helipuerto,Hospital Zonal General de Agudos Héroes de Malvinas,6,IGN,IGN
puntos_de_transporte_aereo_GB035.725,725,2,POINT (-60.54048861599995 -31.74807992799998),Helipuerto Sección Aviación Ejército 2,Helipuerto,Sección Aviación Ejército 2,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.751,751,2,POINT (-66.49091808499998 -22.70110505399998),Helipuerto Mina Pirquitas,Helipuerto,Mina Pirquitas,6,IGN,IGN
puntos_de_transporte_aereo_GB035.772,772,2,POINT (-64.31453288699998 -32.20354355999996),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.773,773,2,POINT (-58.384966874999975 -34.83468876799998),Helipuerto Destacamento Policial El Vapor,Helipuerto,Destacamento Policial El Vapor,6,IGN/ANAC/Street View,IGN
puntos_de_transporte_aereo_GB035.777,777,2,POINT (-64.45517496899998 -31.297040333999973),Helipuerto Hospital Familia Domingo Funes,Helipuerto,Hospital Familia Domingo Funes,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.780,780,2,POINT (-58.40047815199995 -34.57257502999994),Helipuerto DINES Doctor E. Escudero,Helipuerto,DINES Doctor E. Escudero,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.822,822,2,POINT (-60.500826426999936 -31.708617277999963),Helipuerto Amarras del Sol,Helipuerto,Amarras del Sol,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.781,781,2,POINT (-58.38384585099993 -34.577198890999966),Helipuerto Prefectura Nacional Argentina Oficial Principal Ballestra,Helipuerto,Prefectura Nacional Argentina Oficial Principal Ballestra,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.787,787,2,POINT (-64.78036288199996 -32.059742150999966),Helipuerto Roca Val,Helipuerto,Roca Val,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.798,798,2,POINT (-54.63822352999995 -25.99037661899996),Helipuerto Puerto Esperanza,Helipuerto,Puerto Esperanza,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.818,818,2,POINT (-66.86324280599996 -29.435586653999962),Helipuerto Policía Provincial C.A.P.E.,Helipuerto,Policía Provincial C.A.P.E.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.878,878,2,POINT (-60.72054316599997 -31.66612367999994),Helipuerto Brigada Aérea Policial,Helipuerto,Brigada Aérea Policial,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.897,897,2,POINT (-57.53864780699996 -38.037959488999945),Helipuerto Base Naval Mar del Plata 1,Helipuerto,Base Naval Mar del Plata 1,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.898,898,2,POINT (-57.53895412099996 -38.03833572199994),Helipuerto Base Naval Mar del Plata 2,Helipuerto,Base Naval Mar del Plata 2,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.907,907,2,POINT (-58.66537986099996 -34.37634640599998),Helipuerto ACA - Delta,Helipuerto,ACA - Delta,-1,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.925,925,2,POINT (-65.04683307199997 -24.74489450899995),Helipuerto Estación Transformadora Cobos,Helipuerto,Estación Transformadora Cobos,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.929,929,2,POINT (-58.750002965999954 -34.681518693999976),Helipuerto CEVYCA,Helipuerto,CEVYCA,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.1019,1019,2,POINT (-54.57624670699994 -26.39120587499997),Helipuerto Aeródromo Eldorado,Helipuerto,Aeródromo Eldorado,6,IGN/ANAC,IGN
