FID,gid,entidad,objeto,fna,gna,nam,sag,fun,geom,fdc
areas_de_actividad_agropecuaria_AL270.753,753,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.20771068899995 -34.85951421899995, -58.207118471999934 -34.859965855999974, -58.20702290299994 -34.86004085299993, -58.20745930399994 -34.86041712399998, -58.20758782699994 -34.86053064299995, -58.20780829499995 -34.86072537199993, -58.207867575999956 -34.860777730999985, -58.20843595599996 -34.86035141299993, -58.20802982899994 -34.860001171999954, -58.208180725999966 -34.859873755999956, -58.20771068899995 -34.85951421899995)))",IGN
areas_de_actividad_agropecuaria_AL270.754,754,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.20965682399998 -34.88535644899997, -58.20848947999997 -34.88437029399995, -58.20816729799998 -34.884602435999966, -58.20822911099998 -34.88467336399998, -58.207889878999936 -34.88492713699998, -58.20896252499995 -34.88590107699997, -58.20965682399998 -34.88535644899997)))",IGN
areas_de_actividad_agropecuaria_AL270.755,755,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.180920768999954 -34.91288328799993, -58.18137652099995 -34.91326112899998, -58.18216470699997 -34.91261602199995, -58.181708954999976 -34.91223818399993, -58.180920768999954 -34.91288328799993)))",IGN
areas_de_actividad_agropecuaria_AL270.756,756,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.179455093999934 -34.91222209399996, -58.17941873399997 -34.91219096799995, -58.17909923499997 -34.91191745699996, -58.178768882999975 -34.91217930899995, -58.17909411699998 -34.91245773099996, -58.17913194099998 -34.912490110999954, -58.179455093999934 -34.91222209399996)))",IGN
areas_de_actividad_agropecuaria_AL270.757,757,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.171023986999955 -34.90965723499994, -58.16957777199997 -34.91081446199996, -58.169087686999944 -34.91044953699998, -58.168185284999936 -34.91126228099995, -58.16837905799997 -34.911431343999936, -58.168619046999936 -34.91164072799995, -58.16862305799998 -34.91164422799994, -58.170747450999954 -34.91347488899993, -58.17086172599994 -34.913546107999935, -58.171039545999975 -34.913559601999964, -58.17106928199996 -34.91279405399996, -58.17110893399996 -34.91189087299995, -58.17113982199999 -34.91117775099997, -58.17116429899994 -34.91053998799998, -58.17118098699996 -34.910153872999956, -58.171202198999936 -34.90966305999996, -58.171023986999955 -34.90965723499994)))",IGN
areas_de_actividad_agropecuaria_AL270.759,759,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.15701997799994 -34.907481892999954, -58.15581346099998 -34.90866366199998, -58.15637586299994 -34.90917753799994, -58.15710619399994 -34.908616123999934, -58.157334928999944 -34.90882499899993, -58.15756637399994 -34.90860816399993, -58.15770696799996 -34.90872487099995, -58.15813218499994 -34.90839171999994, -58.15701997799994 -34.907481892999954)))",IGN
areas_de_actividad_agropecuaria_AL270.760,760,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.14992272099994 -34.905264848999934, -58.14961725799998 -34.90552458099995, -58.150117173999945 -34.905923593999944, -58.15042263699996 -34.90566385999995, -58.14992272099994 -34.905264848999934)))",IGN
areas_de_actividad_agropecuaria_AL270.761,761,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.15813364999997 -34.89869816999993, -58.157702223999934 -34.899048594999954, -58.15807664199997 -34.899361487999954, -58.158591790999935 -34.89894305599995, -58.15870204399994 -34.89890255699993, -58.15863725799994 -34.89884583199995, -58.15830547199994 -34.89855532399997, -58.15813364999997 -34.89869816999993)))",IGN
areas_de_actividad_agropecuaria_AL270.762,762,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.16736181799996 -34.89836846999998, -58.16512387599994 -34.90010795799998, -58.165170401999944 -34.90016540899995, -58.165236644999936 -34.900262098999974, -58.16535669499996 -34.90037601999995, -58.165421986999945 -34.90049893099996, -58.16556433599993 -34.900684783999964, -58.16573971099996 -34.90084601199993, -58.16587899499996 -34.900951377999945, -58.16611774399996 -34.90108714399997, -58.16622476499998 -34.90114152099994, -58.16633178699993 -34.90119589699998, -58.16624713099998 -34.90128122999994, -58.16621894699995 -34.90133515799994, -58.16625664199995 -34.90144211099994, -58.16735599699996 -34.902421240999956, -58.168407661999936 -34.901564536999956, -58.16854532699995 -34.900501805999966, -58.16856534699997 -34.90029732299996, -58.16856705499998 -34.90004564199995, -58.168569237999975 -34.89965512799995, -58.168529027999966 -34.89952031499996, -58.168349614999954 -34.89935767999998, -58.16813195699996 -34.899258146999955, -58.16798789599994 -34.899110132999965, -58.167773204999946 -34.89889694899995, -58.167778846999965 -34.89873094699993, -58.16757852599994 -34.89856034699994, -58.16736181799996 -34.89836846999998)))",IGN
areas_de_actividad_agropecuaria_AL270.763,763,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.142551476999984 -34.905436796999936, -58.14182700899994 -34.906008800999984, -58.142747558999986 -34.906800060999956, -58.14347202699997 -34.90622805199996, -58.142551476999984 -34.905436796999936)))",IGN
